Yorum,Tahmin
"
Nikaragua'da Amerikan ve İngiliz başrollerin bolca İspanyolca konuştuğu ortamdaki bir Fransız yönetmenliğindeki bir film... Ünlü yönetmen Claire Denis ile fazlasıyla gecikmiş ilk tanışmamız böyle ilginç bir se...",olumsuz
"
Unorthodox dizisiyle ün kazanan Alman yönetmen Maria Schrader, geçen yılın hak ettiğince değer görmeyen filmlerinden biri olan I'm Your Man'in ardından soluğu Hollywood'da aldı. Brad Pitt'in yapım şirketi Plan...",tarafsız
"
Sinemaya özel bir tutku besleyen ve kendi sinema evrenlerini oluşturan Hintlilerin kendi filmlerini çoğu zaman gereğinden fazla sevmeleri, iyi Hint filmlerini keşfetmeyi zorlaştırıyor. Bununla birlikte hemen h...",olumsuz
"
Yılın ilgi çeken filmlerinden biri Amerika'nın daha az ünlü televizyon platformlarından biri olan Roku'da yayınlanan Eric Appel yönetmenliğindeki Al Yankovic biyografisi oldu. Toronto Film Festivali'nde izleyi...",tarafsız
"
Her ödül sezonunda alışılageldik üzere bu yıl da Amerika'daki siyahilerin sivil haklar harekatı dönemini ele alan iddialı bir film karşımıza çıktı. Nijeryalı kadın yönetmen Chinonye Chukwu imzalı Till, özellik...",tarafsız
"
2014 yapımı Force Majeure ile tüm dünyanın ilgisini çekmeyi başaran İsveçli yönetmen Ruben Östlund, ikinci filmi The Square ile sinema dünyasının en prestijli ödüllerinden olan Altın Palmiye'yi kazanmayı başar...",tarafsız
"
Yönetmenlerin kendi çocukluk dönemlerini filmleştirme furyası tam gaz devam ediyor. Bu furyanın en heyecan yaratanlarından The Fabelmans'ın sinemalara gelişini dört gözle beklerken son anda ertelenmesinin ardı...",tarafsız
"
2001'de çektiği ilk filmi In the Bedroom'un ardından, 2006'da Little Children'ı çeken ve bu iki filmi toplamda 8 dalda Oscar'a aday gösterilen Todd Field, bu sıra dışı başarısına karşın kendisini senaristlikte...",tarafsız
"
Önceki yılın en çok ses getiren filmlerinden Norveç yapımı The Worst Person in the World, kısa sürede fenomenleşmeyi başarmıştı. Filmin olağanüstü başarısı sonrası gözlerin çevrildiği Norveç sineması, bu yıl d...",tarafsız
"
2010'lu yıllara fırtına gibi başlayan yönetmen David O. Russell, arka arkaya imza attığı üç filmle de en iyi film, en iyi yönetmen adaylıklarını almayı başarmış ve bir anda Hollywood'un en parlak yönetmenlerin...",olumsuz
"
Amerikan sinemasında korku filmlerinin her zamankinden de çok rağbet ve daha önemlisi de saygınlık gördüğü bir dönem içerisindeyiz. Geride bırakmaya yaklaştığımız 2022 yılıyla birlikte de bu durum iyice belirg...",olumsuz
"
Bu yılki Oscar sezonunun sürpriz sayılabilecek filmlerinden biri Gina Prince-Bythewood'dan geldi. İzleyicilerden karışık tepkiler alsa da eleştirmenlerden yüksek notlar alan film, özellikle başrolündeki Viola ...",tarafsız
"
Arka arkaya topladığı yüzlerce ödül ve adaylıkla bir anda büyük bir yıldıza dönüşen Jennifer Lawrence'ın her işini merakla beklemeye başlamıştık. Öyle ki Hollywood'daki en iyi projeler önce onun süzgecinden ge...",olumsuz
"
Son yılların en çok abartılan bağımsız filmlerinden Booksmart ile büyük sükse yapan Olivia Wilde, yönetmen koltuğundaki ikinci filmi ""Don't Worry Darling"" ile yılın en çok beklenti yaratan gişe filmlerinden bi...",olumsuz
"
Hollywood'un büyük yönetmenlerinin en istikrarsızlarından biri olan Ron Howard, hangi filminin fiyasko hangisinin klasik adayı olacağını kestirmenin en zor olduğu isimler arasında. Son olarak Hillbilly Elegy i...",tarafsız
"
Sanat tarihinin en önemli isimlerinin başında gelen William Shakespeare'in eserleri her yıl onlarca kez çeşitli sanat dallarına uyarlanmaya devam ediyor. Bu bolluğa rağmen hala Shakespeare'in eserlerinden yepy...",tarafsız
